Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1200,2.0,2.0,44.0,4
Built-Up Area,20-Feb,Devanahalli,4 Bedroom,Brereat,3010 - 3410,2.0,2.0,192.0,4
Super Built-Up Area,Ready To Move,Ramakrishnappa Layout,2 Bhk,Pebayle,1500,2.0,2.0,185.0,4
Plot Area,Ready To Move,Murugeshpalya,6 Bedroom,Grrvagr,1407,4.0,1.0,150.0,4
Super Built-Up Area,Ready To Move,Govindaraja Nagar Ward,2 Bhk,Grrvagr,840,2.0,2.0,45.0,4
Plot Area,Ready To Move,Tharabanahalli,3 Bedroom,Grrvagr,4395,3.0,2.0,240.0,4
Super Built-Up Area,Ready To Move,Ganga Nagar,2 Bhk,Laavevi,845,2.0,1.0,55.0,4
Plot Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4
Built-Up Area,Ready To Move,Varthur,2 Bhk,Hioratr,1160,2.0,2.0,44.0,4
Built-Up Area,Ready To Move,Bommanahalli,8 Bedroom,Grrvagr,3000,8.0,0.0,140.0,4
Super Built-Up Area,Ready To Move,Doddathoguru,2 Bhk,Grrvagr,1100,2.0,1.0,62.0,4
Super Built-Up Area,18-Apr,Gunjur,2 Bhk,Bmineis,1140,2.0,3.0,43.0,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Grrvagr,1220,2.0,1.0,57.0,4
Plot Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Grrvagr,1350,7.0,0.0,85.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,2 Bhk,Grrvagr,1005,2.0,1.0,36.68,4
Plot Area,Ready To Move,Double Road,3 Bedroom,Grrvagr,500,3.0,2.0,100.0,4
Super Built-Up Area,20-Aug,Begur Road,2 Bhk,Pruthg,1358,2.0,1.0,80.58,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Sonosty,1569,3.0,1.0,101.0,4
Super Built-Up Area,18-Apr,Haralur Road,2 Bhk,Snnia E,1240,2.0,1.0,70.0,4
Super Built-Up Area,Ready To Move,Hennur Road,3 Bhk,Anavi B,2089,3.0,2.0,140.0,4
Super Built-Up Area,Ready To Move,Kothannur,2 Bhk,Grrvagr,1206,2.0,1.0,48.23,4
Super Built-Up Area,Ready To Move,Kalena Agrahara,2 Bhk,Grrvagr,1150,2.0,3.0,40.0,4
Built-Up Area,Ready To Move,Cholanayakanahalli,3 Bhk,Viony H,2511,3.0,3.0,205.0,4
Built-Up Area,Ready To Move,Kaval Byrasandra,2 Bhk,Grrvagr,460,1.0,0.0,22.0,0
Built-Up Area,Ready To Move,Isro Layout,6 Bedroom,Grrvagr,4400,6.0,3.0,250.0,4
Super Built-Up Area,Ready To Move,Kodanda Reddy Layout,3 Bhk,Adentel,1660,2.0,2.0,105.0,4
Built-Up Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,2.0,2.0,224.5,4
Super Built-Up Area,19-Mar,Yelahanka,2 Bhk,Niareum,1326,2.0,2.0,78.0,4
Super Built-Up Area,Ready To Move,Garudachar Palya,3 Bhk,Grrvagr,1325,2.0,2.0,60.8,4
Super Built-Up Area,Ready To Move,Epip Zone,3 Bhk,Sjlynro,1499,5.0,2.0,102.0,4
Built-Up Area,Ready To Move,Hegde Nagar,6 Bedroom,Grrvagr,3000,7.0,2.0,210.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Grrvagr,1665,3.0,2.0,88.0,4
Super Built-Up Area,17-Sep,Dasanapura,2 Bhk,Tavenew,708,2.0,2.0,37.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,2 Bhk,Srire S,1060,2.0,2.0,58.06,4
Plot Area,Ready To Move,Rajaji Nagar,6 Bedroom,Grrvagr,710,6.0,3.0,160.0,4
Built-Up Area,Ready To Move,Sanjay Nagar,2 Bhk,Saenti,1000,2.0,2.0,70.0,4
Super Built-Up Area,18-Dec,Electronic City,2 Bhk,Grrvagr,1000,2.0,1.0,28.88,4
Super Built-Up Area,Ready To Move,Mysore Highway,3 Bhk,Grrvagr,1450,2.0,2.0,70.0,4
Plot Area,Ready To Move,Isro Layout,4 Bedroom,Grrvagr,1200,4.0,2.0,155.0,4
Super Built-Up Area,17-Aug,Thanisandra,2 Bhk,Bhmesy,1296,2.0,3.0,80.0,4
Super Built-Up Area,Ready To Move,Domlur,3 Bhk,Grrvagr,1540,3.0,2.0,90.0,4
Plot Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4
Super Built-Up Area,Ready To Move,Sarjapura - Attibele Road,3 Bhk,Grrvagr,1330,2.0,1.0,48.0,4
Built-Up Area,Ready To Move,Devasthanagalu,2 Bhk,Grrvagr,1200,2.0,1.0,65.0,4
Built-Up Area,Ready To Move,T Dasarahalli,3 Bedroom,Grrvagr,1200,3.0,1.0,90.0,4
Super Built-Up Area,Ready To Move,Yeshwanthpur,3 Bhk,Ibityin,2502,3.0,3.0,138.0,4
Built-Up Area,Ready To Move,Chandapura,2 Bhk,Khityry,650,1.0,1.0,17.0,0
Plot Area,Ready To Move,Kothanur,3 Bedroom,Bdensar,2400,2.0,1.0,150.0,4
Super Built-Up Area,Ready To Move,Green View Layout,2 Bhk,Makeser,1007,2.0,2.0,43.0,4
Super Built-Up Area,Ready To Move,Shantiniketan Layout,2 Bhk,Maest N,1200,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Peenya,2 Bhk,Grrvagr,966,2.0,2.0,49.9,4
Built-Up Area,Ready To Move,Nagarbhavi,3 Bhk,Grrvagr,1630,2.0,1.0,98.0,4
Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Brway G,1640,3.0,2.0,229.0,4
Built-Up Area,Ready To Move,Jalahalli West,2 Bhk,Grrvagr,782,2.0,2.0,55.68,4
Super Built-Up Area,19-Apr,Devanahalli,2 Bhk,Oznuean,1260,2.0,2.0,66.78,4
Super Built-Up Area,Ready To Move,Lakshmiamma Garden,3 Bhk,Grrvagr,1800,3.0,3.0,120.0,4
Super Built-Up Area,Ready To Move,Byatarayanapura,3 Bhk,Reeroce,1413,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Sonviik,1116,2.0,1.0,51.91,4
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Dsgmax,1530,2.0,1.0,45.9,4
Built-Up Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,Grrvagr,3700,4.0,1.0,225.0,4
Built-Up Area,Ready To Move,Sarjapur Road,3 Bedroom,Cetattu,2497,3.0,2.0,140.0,4
Super Built-Up Area,Ready To Move,Kengeri,3 Bhk,Vaens G,1540,2.0,3.0,64.0,4
Super Built-Up Area,18-Dec,Thanisandra,3 Bhk,Grrvagr,1436,3.0,1.0,74.75,4
Super Built-Up Area,18-Jun,Malleshwaram,2 Bhk,Grrvagr,1100,2.0,2.0,75.0,4
Plot Area,Ready To Move,Hennur Road,2 Bedroom,Grrvagr,276,3.0,3.0,23.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Moity S,1427,3.0,2.0,120.0,4
Super Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Hiahsla,2061,3.0,1.0,200.0,4
Super Built-Up Area,18-Mar,Hebbal,4 Bhk,Snontle,3067 - 8156,4.0,0.0,477.0,4
Built-Up Area,Ready To Move,Shampura,4 Bhk,Grrvagr,2650,4.0,2.0,150.0,4
Super Built-Up Area,22-Dec,Devanahalli,3 Bhk,Sabixtt,1282,2.0,2.0,68.52,4
Built-Up Area,Ready To Move,Kadugodi,2 Bhk,Grrvagr,1050,2.0,1.0,34.0,4
Built-Up Area,Ready To Move,Lb Shastri Nagar,3 Bhk,Sragei,1600,3.0,2.0,65.0,4
Super Built-Up Area,22-Jan,Vajarahalli,2 Bhk,Grrvagr,945,2.0,1.0,54.0,4
Super Built-Up Area,Ready To Move,Hormavu,2 Bhk,Syidacr,1500,2.0,1.0,78.0,4
Plot Area,Ready To Move,Vishwapriya Layout,7 Bedroom,Grrvagr,950,7.0,0.0,115.0,4
Built-Up Area,Ready To Move,Peenya,3 Bhk,Jahts H,1870,3.0,3.0,110.0,4
Plot Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1600,3.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Itelaa,880,1.0,1.0,16.5,0
Plot Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,Grrvagr,1200,4.0,0.0,210.0,4
Super Built-Up Area,Ready To Move,Kudlu Gate,3 Bhk,Srier P,1535,3.0,2.0,83.0,4
Built-Up Area,Ready To Move,Kanakpura Road,2 Bhk,Wiowsri,950,2.0,1.0,57.0,4
Super Built-Up Area,18-Aug,Devanahalli,2 Bhk,Derdsig,1360,2.0,1.0,65.0,4
Super Built-Up Area,19-Mar,8Th Phase Jp Nagar,2 Bhk,Vaarech,1042 - 1105,2.0,0.0,54.005,4
Super Built-Up Area,18-May,Bommasandra Industrial Area,3 Bhk,Grrvagr,1280,3.0,1.0,50.4,4
Super Built-Up Area,19-Jan,Chandra Layout,3 Bhk,Tiaksaa,1260,2.0,2.0,85.05,4
Built-Up Area,Ready To Move,Hennur Road,8 Bedroom,Grrvagr,5000,8.0,2.0,250.0,4
Super Built-Up Area,19-Dec,Yelahanka,5 Bhk,Ledorsa,3050,5.0,1.0,213.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Hmwerco,1563.05,3.0,1.0,105.0,4
Super Built-Up Area,Ready To Move,Isro Layout,2 Bhk,Grrvagr,1000,2.0,1.0,60.0,4
Super Built-Up Area,17-Jul,Anandapura,2 Bhk,Viensrk,1167,2.0,1.0,43.76,4
Super Built-Up Area,Ready To Move,Vishveshwarya Layout,7 Bhk,Grrvagr,4000,7.0,2.0,225.0,4
Super Built-Up Area,Ready To Move,Kothanur,3 Bhk,Somumys,1828,3.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Kengeri Satellite Town,2 Bhk,Hoiewla,890,2.0,1.0,35.0,4
Super Built-Up Area,Ready To Move,Basavanapura,3 Bhk,Dwity T,1612,3.0,3.0,46.74,4
Plot Area,Ready To Move,Dinnur,6 Bedroom,Grrvagr,1034,5.0,2.0,185.0,4
Super Built-Up Area,19-Apr,Mysore Road,3 Bhk,Brama P,1710,4.0,2.0,91.31,4
Super Built-Up Area,Ready To Move,Kannamangala,2 Bhk,Vbownre,957,2.0,1.0,58.0,4
Super Built-Up Area,18-May,Devarachikkanahalli,3 Bhk,Grrvagr,1250,2.0,3.0,44.0,4
Super Built-Up Area,Ready To Move,Sanjeevini Nagar,3 Bhk,Betatsi,2795,4.0,2.0,235.0,4
Super Built-Up Area,Ready To Move,Hulimavu,2 Bhk,Prcan P,1125,2.0,2.0,50.0,4
Super Built-Up Area,18-Jul,Electronic City Phase Ii,2 Bhk,Sryalan,1020,2.0,1.0,30.6,4
Super Built-Up Area,Ready To Move,Kalena Agrahara,2 Bhk,Grrvagr,1200,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Soitya,1735,3.0,3.0,135.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,G Conth,2050,3.0,1.0,145.0,4
Plot Area,Ready To Move,Mahalakshmi Layout,4 Bedroom,Grrvagr,3750,4.0,0.0,760.0,4
Built-Up Area,Ready To Move,Yarandahalli,3 Bhk,Grrvagr,1350,2.0,3.0,48.0,4
Super Built-Up Area,18-May,Hosa Road,2 Bhk,Sstusan,1063,2.0,1.0,32.0,4
Super Built-Up Area,Ready To Move,Keshava Nagar,3 Bhk,Etens G,1904,3.0,1.0,150.0,4
Built-Up Area,Ready To Move,Whitefield,4 Bedroom,Grrvagr,4200,4.0,2.0,420.0,4
Super Built-Up Area,Ready To Move,Rmv Extension,3 Bhk,Hohnari,2000,3.0,1.0,175.0,4
Super Built-Up Area,18-Dec,Sarjapur,2 Bhk,Kinuerg,1145 - 1340,2.0,0.0,43.49,4
Super Built-Up Area,Ready To Move,Tejaswini Nagar,3 Bhk,Naods W,1425,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Gmown E,1500,2.0,1.0,64.5,4
Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,1060,2.0,1.0,60.0,4
Built-Up Area,Ready To Move,Jai Bheema Nagar,3 Bhk,Sancyra,1470,2.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,Kothnur Narayanapura,6 Bhk,Grrvagr,1300,6.0,0.0,99.0,4
Super Built-Up Area,Ready To Move,Attibele,1 Bhk,Jae 1Hu,450,1.0,1.0,11.0,0
Super Built-Up Area,18-Apr,Electronic City,2 Bhk,Prarkun,1152,2.0,1.0,64.5,4
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Gmown E,1350,2.0,1.0,56.0,4
Super Built-Up Area,Ready To Move,Cv Raman Nagar,3 Bhk,Srshq T,1550,3.0,3.0,65.0,4
Plot Area,Ready To Move,Chikkatirupathi,3 Bedroom,Grrvagr,1500,3.0,2.0,100.0,4
Plot Area,Ready To Move,Kumaraswami Layout,5 Bedroom,Grrvagr,600,3.0,2.0,85.0,4
Plot Area,Ready To Move,Nagavara,1 Bedroom,Grrvagr,400,1.0,0.0,14.0,0
Super Built-Up Area,Ready To Move,Malleshwaram,1 Bhk,Utntspa,705,1.0,2.0,67.0,0
Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,770,1.0,1.0,36.0,0
Super Built-Up Area,Ready To Move,Hulimavu,2 Bhk,Aniona,1242,2.0,3.0,51.0,4
Super Built-Up Area,Ready To Move,Hebbal Kempapura,3 Bhk,Goateds,1700,3.0,2.0,155.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Soitya,2144,3.0,2.0,145.0,4
Super Built-Up Area,21-Jun,Vijayanagar,3 Bhk,Saahaat,1704,3.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,1070,2.0,1.0,52.0,4
Plot Area,Ready To Move,8Th Block Koramangala,3 Bedroom,Grrvagr,1846,3.0,2.0,300.0,4
Super Built-Up Area,Ready To Move,Jakkuru Layout,2 Bhk,Grrvagr,1340,2.0,2.0,55.7,4
Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,1025,2.0,1.0,46.0,4
Super Built-Up Area,Ready To Move,Kr Puram,2 Bhk,Mcvarar,1015 - 1540,2.0,0.0,56.8,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Vrave E,1200,2.0,2.0,52.0,4
Built-Up Area,18-Dec,Kanakpura Road,4 Bedroom,Grrvagr,2250,4.0,1.0,110.0,4
Super Built-Up Area,Ready To Move,Pattandur Agrahara,3 Bhk,Maidopl,1550,2.0,3.0,80.0,4
Plot Area,Ready To Move,Bellandur,4 Bedroom,Grrvagr,1200,5.0,2.0,325.0,4
Plot Area,Ready To Move,Ejipura,7 Bedroom,Grrvagr,1800,7.0,1.0,250.0,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Aiitya,1200,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Puziave,1327,2.0,2.0,98.0,4
Super Built-Up Area,Ready To Move,Kothanur,2 Bhk,Grrvagr,1186,2.0,2.0,58.0,4
Built-Up Area,Ready To Move,Ms Pallya,3 Bedroom,Grrvagr,1783,3.0,1.0,115.0,4
Super Built-Up Area,Ready To Move,Hsr Layout,3 Bhk,Nrosete,1400,3.0,2.0,56.0,4
Super Built-Up Area,Ready To Move,Nagasandra,2 Bhk,Grrvagr,980,2.0,1.0,48.0,4
Super Built-Up Area,Ready To Move,Epip Zone,2 Bhk,Grrvagr,1285,2.0,2.0,82.0,4
Super Built-Up Area,Ready To Move,Langford Town,3 Bhk,Grrvagr,912,2.0,1.0,70.0,4
Built-Up Area,Ready To Move,Whitefield,2 Bhk,Sancya,1225,2.0,2.0,47.6,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Grrvagr,1075,2.0,1.0,53.0,4
Built-Up Area,Ready To Move,Kadugodi,3 Bhk,Msingco,1260,2.0,2.0,54.0,4
Super Built-Up Area,Ready To Move,Yelahanka,3 Bhk,Pyikad,1282,2.0,2.0,48.7,4
Super Built-Up Area,Ready To Move,Kogilu,3 Bhk,Cairscr,1909,3.0,2.0,88.0,4
Super Built-Up Area,Ready To Move,Panathur,2 Bhk,Prcesvy,1359,2.0,1.0,87.0,4
Built-Up Area,Ready To Move,Nagondanahalli,2 Bhk,Grrvagr,1207,2.0,2.0,43.5,4
Plot Area,Ready To Move,Padmanabhanagar,4 Bedroom,Grrvagr,1736,6.0,0.0,190.0,4
Super Built-Up Area,20-May,1St Block Jayanagar,4 Bhk,Grrvagr,2850,4.0,1.0,428.0,4
Super Built-Up Area,Ready To Move,Kammasandra,3 Bhk,Emstael,1595,3.0,2.0,65.0,4
Built-Up Area,18-Jun,"Off Sarjapur Road,",3 Bhk,Grrvagr,1798,3.0,2.0,89.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,3 Bhk,Sndri N,1475,3.0,2.0,78.29,4
Super Built-Up Area,Ready To Move,Tala Cauvery Layout,3 Bhk,Hodhisa,1580,3.0,3.0,100.0,4
Super Built-Up Area,Ready To Move,Dasarahalli,2 Bhk,Syonyph,1295,2.0,1.0,65.0,4
Built-Up Area,Ready To Move,Magadi Road,6 Bedroom,Grrvagr,3600,6.0,0.0,141.0,4
Super Built-Up Area,Ready To Move,Electronic City,1 Bhk,Itvir M,589,1.0,1.0,27.0,0
Super Built-Up Area,Ready To Move,Ngef Layout,3 Bhk,Grrvagr,1415,3.0,3.0,78.0,4
Super Built-Up Area,18-Dec,Sarjapur Road,3 Bhk,Klark L,1787,3.0,2.0,98.29,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Klark L,1787,3.0,2.0,125.0,4
Super Built-Up Area,Ready To Move,Koramangala,3 Bhk,Piityra,1475,2.0,3.0,90.0,4
Built-Up Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 Bhk,Grrvagr,2000,4.0,1.0,75.5,4
Super Built-Up Area,19-Mar,Sarjapur Road,2 Bhk,Asastde,984,2.0,1.0,44.28,4
Super Built-Up Area,19-Dec,Devanahalli,3 Bhk,Jurdsig,1520 - 1740,2.0,2.0,74.82,4
Super Built-Up Area,Ready To Move,Muthurayya Swamy Layout,3 Bhk,Maclek,2405,4.0,2.0,260.0,4
Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Brnia G,1080,2.0,2.0,72.0,4
Plot Area,Ready To Move,Shantiniketan Layout,2 Bedroom,Grrvagr,1500,2.0,1.0,115.0,4
Super Built-Up Area,Ready To Move,Hebbal,3 Bhk,Grrvagr,1900,3.0,2.0,119.0,4
Super Built-Up Area,19-Aug,Dommasandra,2 Bhk,Grrvagr,805,2.0,1.0,22.14,4
Super Built-Up Area,Ready To Move,Budigere,2 Bhk,Pritytr,1153,2.0,2.0,56.4,4
Super Built-Up Area,Ready To Move,Dodda Nekkundi Extension,2 Bhk,Alecone,1148,2.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Mylasandra,2 Bhk,Laowsba,1110,2.0,2.0,55.0,4
Built-Up Area,Ready To Move,Electronic City,2 Bhk,Saave R,1100,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Kalyan Nagar,2 Bhk,Anave S,1290,2.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Dr Shivarama Karantha Nagar,3 Bhk,Grrvagr,1500,2.0,1.0,65.0,4
Super Built-Up Area,18-Apr,Bank Of Baroda Colony,2 Bhk,Grrvagr,1080,2.0,2.0,39.0,4
Super Built-Up Area,21-Jun,Vijayanagar,3 Bhk,Saityat,1933,3.0,1.0,129.0,4
Built-Up Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,Grrvagr,3500,5.0,2.0,150.0,4
Built-Up Area,Ready To Move,Kullappa Colony,2 Bhk,Grrvagr,1060,2.0,2.0,60.0,4
Super Built-Up Area,18-Aug,Chandapura,1 Bhk,Suncees,645,1.0,1.0,16.45,0
Plot Area,Ready To Move,Mukkutam Nagar,8 Bedroom,Grrvagr,2600,8.0,2.0,180.0,4
Super Built-Up Area,18-Sep,Chandapura,1 Bhk,Suncees,645,1.0,1.0,16.45,0
Super Built-Up Area,Ready To Move,Ashwath Nagar,3 Bhk,Sjcerpe,1644,3.0,3.0,84.0,4
Super Built-Up Area,Ready To Move,Ncpr Industrial Layout,2 Bhk,Supams,1285,2.0,3.0,72.5,4
Plot Area,Ready To Move,Electronic City,3 Bedroom,Grrvagr,1200,3.0,1.0,90.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Coapeso,910,2.0,1.0,40.0,4
Super Built-Up Area,Ready To Move,Kothanur,3 Bhk,Bisic C,1577,3.0,1.0,70.0,4
Plot Area,17-May,Meenakunte,3 Bedroom,Sreat R,4050,3.0,2.0,280.0,4
Super Built-Up Area,Ready To Move,Ombr Layout,3 Bhk,Inntsa,2420,3.0,2.0,185.0,4
Super Built-Up Area,Ready To Move,Chandapura,2 Bhk,Khityry,800,1.0,1.0,20.0,0
Built-Up Area,Ready To Move,Anand Nagar,2 Bhk,Grrvagr,1060,2.0,2.0,55.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,2 Bhk,Briummi,1270,2.0,2.0,93.0,4
